date,Hamburg,Schleswig-Holstein,Lower Saxony,Baden-Wuerttemberg,Saarland,Bremen,Brandenburg,Saxony,Bavaria,Saxony-Anhalt,Hesse,Rheinland-Pfalz,North Rhine-Westphalia,Berlin,Mecklenburg-Vorpommern,Thuringia
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,3.5714285714285716,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,5.357142857142857,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,14.285714285714286,0.0,0.0,0.0
2020-03-14,5.357142857142857,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14.285714285714286,0.0,14.285714285714286,16.666666666666664,0.0,0.0
2020-03-15,5.357142857142857,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,14.285714285714286,14.285714285714286,14.285714285714286,0.0,14.285714285714286,16.666666666666664,14.285714285714286,0.0
2020-03-16,28.571428571428573,14.285714285714286,28.571428571428573,3.5714285714285716,10.714285714285714,14.285714285714286,0.0,3.5714285714285716,25.0,14.285714285714286,28.571428571428573,14.285714285714286,14.285714285714286,20.238095238095237,28.571428571428573,0.0
2020-03-17,42.857142857142854,14.285714285714286,57.142857142857146,35.714285714285715,14.285714285714286,14.285714285714286,14.285714285714286,3.5714285714285716,29.76190476190476,28.571428571428573,38.09523809523809,19.047619047619044,23.809523809523807,30.952380952380953,54.761904761904766,14.285714285714286
2020-03-18,42.857142857142854,38.09523809523809,57.142857142857146,38.09523809523809,23.809523809523807,28.571428571428573,28.571428571428573,23.809523809523807,41.07142857142857,28.571428571428573,42.857142857142854,19.047619047619044,23.809523809523807,30.952380952380953,54.761904761904766,19.047619047619044
2020-03-19,42.857142857142854,38.09523809523809,57.142857142857146,38.09523809523809,23.809523809523807,28.571428571428573,28.571428571428573,23.809523809523807,41.07142857142857,28.571428571428573,42.857142857142854,19.047619047619044,23.809523809523807,30.952380952380953,54.761904761904766,19.047619047619044
2020-03-20,42.857142857142854,38.09523809523809,57.142857142857146,38.09523809523809,28.571428571428573,28.571428571428573,28.571428571428573,23.809523809523807,41.07142857142857,28.571428571428573,42.857142857142854,28.571428571428573,23.809523809523807,30.952380952380953,54.761904761904766,19.047619047619044
2020-03-21,42.857142857142854,38.09523809523809,57.142857142857146,38.09523809523809,42.857142857142854,28.571428571428573,28.571428571428573,23.809523809523807,55.357142857142854,28.571428571428573,42.857142857142854,28.571428571428573,23.809523809523807,45.238095238095234,54.761904761904766,19.047619047619044
2020-03-22,57.142857142857146,52.38095238095237,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,42.857142857142854,55.357142857142854,42.857142857142854,57.142857142857146,42.857142857142854,38.09523809523809,52.38095238095237,71.42857142857143,33.33333333333333
2020-03-23,57.142857142857146,52.38095238095237,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,33.33333333333333
2020-03-24,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,38.09523809523809
2020-03-25,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,38.09523809523809
2020-03-26,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,38.09523809523809
2020-03-27,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-03-28,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-03-29,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-03-30,57.142857142857146,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,57.142857142857146,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-03-31,71.42857142857143,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,71.42857142857143,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-04-01,71.42857142857143,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,71.42857142857143,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-04-02,71.42857142857143,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,71.42857142857143,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,52.38095238095237,71.42857142857143,57.142857142857146
2020-04-03,71.42857142857143,57.142857142857146,71.42857142857143,57.142857142857146,57.142857142857146,42.857142857142854,71.42857142857143,57.142857142857146,55.357142857142854,57.142857142857146,57.142857142857146,42.857142857142854,42.857142857142854,57.142857142857146,71.42857142857143,57.142857142857146
