date,Hamburg,Schleswig-Holstein,Lower Saxony,Baden-Wuerttemberg,Saarland,Bremen,Brandenburg,Saxony,Bavaria,Saxony-Anhalt,Hesse,Rheinland-Pfalz,North Rhine-Westphalia,Berlin,Mecklenburg-Vorpommern,Thuringia
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,5.357142857142857,0.0,0.0,5.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,5.357142857142857,0.0,0.0,5.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,8.035714285714286,0.0,0.0,5.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,21.428571428571427,0.0,0.0,0.0
2020-03-14,8.035714285714286,0.0,0.0,5.357142857142857,0.0,0.0,0.0,0.0,14.285714285714286,21.428571428571427,14.285714285714286,0.0,21.428571428571427,17.857142857142858,0.0,0.0
2020-03-15,8.035714285714286,0.0,0.0,5.357142857142857,0.0,0.0,0.0,0.0,14.285714285714286,21.428571428571427,14.285714285714286,0.0,21.428571428571427,17.857142857142858,14.285714285714286,0.0
2020-03-16,42.857142857142854,21.428571428571427,28.57142857142857,5.357142857142857,16.071428571428573,21.428571428571427,0.0,5.357142857142857,30.35714285714286,21.428571428571427,35.714285714285715,21.428571428571427,21.428571428571427,23.214285714285715,35.714285714285715,0.0
2020-03-17,50.0,21.428571428571427,64.28571428571429,46.42857142857142,21.428571428571427,21.428571428571427,21.428571428571427,5.357142857142857,37.5,42.857142857142854,49.99999999999999,28.57142857142857,35.71428571428571,39.285714285714285,60.714285714285715,21.428571428571427
2020-03-18,50.0,42.857142857142854,64.28571428571429,49.99999999999999,35.71428571428571,42.857142857142854,42.857142857142854,35.71428571428571,54.464285714285715,42.857142857142854,57.14285714285714,28.57142857142857,35.71428571428571,39.285714285714285,60.714285714285715,28.57142857142857
2020-03-19,50.0,42.857142857142854,64.28571428571429,49.99999999999999,35.71428571428571,42.857142857142854,42.857142857142854,35.71428571428571,54.464285714285715,42.857142857142854,57.14285714285714,28.57142857142857,35.71428571428571,39.285714285714285,60.714285714285715,28.57142857142857
2020-03-20,50.0,42.857142857142854,64.28571428571429,49.99999999999999,42.857142857142854,42.857142857142854,42.857142857142854,35.71428571428571,54.464285714285715,42.857142857142854,57.14285714285714,42.857142857142854,35.71428571428571,39.285714285714285,60.714285714285715,28.57142857142857
2020-03-21,50.0,42.857142857142854,64.28571428571429,49.99999999999999,57.14285714285714,42.857142857142854,42.857142857142854,35.71428571428571,68.75,42.857142857142854,57.14285714285714,42.857142857142854,35.71428571428571,53.57142857142857,60.714285714285715,28.57142857142857
2020-03-22,64.28571428571429,57.14285714285714,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,57.14285714285714,68.75,57.14285714285714,71.42857142857143,57.14285714285714,49.99999999999999,64.28571428571428,78.57142857142858,42.857142857142854
2020-03-23,64.28571428571429,57.14285714285714,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,42.857142857142854
2020-03-24,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,49.99999999999999
2020-03-25,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,49.99999999999999
2020-03-26,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,49.99999999999999
2020-03-27,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-03-28,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-03-29,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-03-30,64.28571428571429,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,71.42857142857143,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-03-31,78.57142857142858,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,78.57142857142858,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-04-01,78.57142857142858,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,78.57142857142858,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-04-02,78.57142857142858,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,78.57142857142858,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,64.28571428571428,78.57142857142858,71.42857142857143
2020-04-03,78.57142857142858,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,78.57142857142858,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,71.42857142857143,78.57142857142858,71.42857142857143
2020-04-04,78.57142857142858,64.28571428571429,78.57142857142858,71.42857142857143,71.42857142857143,57.14285714285714,78.57142857142858,71.42857142857143,68.75,71.42857142857143,71.42857142857143,57.14285714285714,57.14285714285714,71.42857142857143,78.57142857142858,71.42857142857143
